user_id,skills,experience_level,interests
1,"python,ml",beginner,ai
2,"python,data_mining",beginner,ai
3,"python,ml,nlp",intermediate,ai
4,"python,ml,computer_vision",intermediate,ai
5,"python,ml,data_mining",advanced,ai
6,"react,node",intermediate,web
7,"react,node,express",intermediate,web
8,"react,node,mongodb",intermediate,web
9,"react,nextjs,node",advanced,web
10,"html,css,javascript",beginner,web
11,"javascript,react",beginner,web
12,"javascript,react,node",intermediate,web
13,"javascript,node,express",intermediate,web
14,"typescript,react,node",advanced,web
15,"java,sql,oops",beginner,software
16,"java,sql,spring",intermediate,software
17,"java,spring,hibernate",advanced,software
18,"python,pandas,numpy",beginner,data
19,"python,pandas,numpy",intermediate,data
20,"python,pandas,ml",advanced,data
21,"python,ml,nlp",beginner,ai
22,"python,ml,computer_vision",beginner,ai
23,"python,ml,data_analysis",intermediate,data
24,"python,ml,time_series",advanced,finance
25,"python,ml,statistics",intermediate,data
26,"sql,powerbi,excel",beginner,business
27,"sql,tableau,excel",intermediate,business
28,"sql,data_analysis,python",advanced,business
29,"python,ml,recommendation_systems",advanced,"ai,ml"
30,"python,nlp,text_processing",intermediate,ai
31,"node,express,mongodb",beginner,web
32,"node,express,postgresql",intermediate,web
33,"node,express,graphql",advanced,web
34,"react,tailwind",beginner,web
35,"react,tailwind,typescript",intermediate,web
36,"nextjs,react,typescript",advanced,web
37,"python,flask",beginner,backend
38,"python,fastapi",intermediate,backend
39,"python,fastapi,ml",advanced,backend
40,"python,data_mining,ml",intermediate,ai
41,"python,ml,feature_engineering",advanced,ai
42,"python,ml,model_evaluation",intermediate,ai
43,"python,computer_vision,opencv",beginner,ai
44,"python,computer_vision,deep_learning",advanced,ai
45,"python,ml,classification",intermediate,ai
46,"python,ml,regression",intermediate,ai
47,"python,ml,clustering",advanced,ai
48,"python,ml,recommendation_systems",intermediate,ai
49,"python,nlp,ml",advanced,ai
50,"python,nlp,sentiment_analysis",intermediate,ai
51,"react,node,sql",beginner,web
52,"react,node,sql",intermediate,web
53,"react,node,prisma",advanced,web
54,"python,sql,flask",beginner,backend
55,"python,sql,fastapi",intermediate,backend
56,"python,sql,ml",advanced,data
57,"python,data_cleaning,pandas",beginner,data
58,"python,data_visualization",intermediate,data
59,"python,data_analysis,ml",advanced,data
60,"python,ml,deep_learning",advanced,ai
61,"c++,dsa",beginner,software
62,"c++,dsa",intermediate,software
63,"c++,dsa_algorithms",advanced,software
64,"python,automation,scripting",beginner,software
65,"python,automation",intermediate,software
66,"python,automation",advanced,software
67,"python,ml,finance",intermediate,finance
68,"python,ml,stock_prediction",advanced,finance
69,"python,time_series,ml",advanced,finance
70,"python,ml,credit_scoring",intermediate,finance
71,"python,healthcare_data,ml",intermediate,healthcare
72,"python,ml,medical_data",advanced,healthcare
73,"python,data_mining,healthcare",beginner,healthcare
74,"python,ml,diagnosis_systems",advanced,healthcare
75,"python,ml,research",advanced,ai
76,"python,statistics,ml",intermediate,data
77,"python,statistics,data_analysis",beginner,data
78,"python,ml,experimentation",intermediate,ai
79,"python,ml,feature_selection",advanced,ai
80,"python,ml,model_tuning",advanced,ai
81,"react,uiux",beginner,web
82,"react,uiux",intermediate,web
83,"react,uiux",advanced,web
84,"python,api_integration",beginner,backend
85,"python,api_integration",intermediate,backend
86,"python,api_integration",advanced,backend
87,"python,ml,cloud",intermediate,ai
88,"python,ml,aws",advanced,ai
89,"python,ml,deployment",advanced,ai
90,"python,ml,monitoring",advanced,ai
91,"python,ml,logging",intermediate,ai
92,"python,ml,pipelines",advanced,ai
93,"python,data_engineering",intermediate,data
94,"python,data_engineering",advanced,data
95,"python,etl,pipelines",advanced,data
96,"python,sql,etl",intermediate,data
97,"python,ml,anomaly_detection",advanced,ai
98,"python,ml,fraud_detection",advanced,finance
99,"python,ml,forecasting",intermediate,finance
100,"python,ml,predictive_modeling",advanced,ai
